Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
190626_I114_FCH7TVNBBXY_L3_OC-N2_1_val_1		77.42585993656571	30.0	47.27827962273907	27.27272727272727	21575942.0
190626_I114_FCH7TVNBBXY_L3_OC-N2_2	1.9680304392485928					
190626_I114_FCH7TVNBBXY_L3_OC-N2_2_val_2		70.94313241825307	27.0	45.96549059132621	27.27272727272727	21575942.0
190626_I114_FCH7TVNBBXY_L3_OC-N4_1	1.7879343746223901					
190626_I114_FCH7TVNBBXY_L3_OC-N4_1_val_1		79.27533731056324	31.0	47.37340287384973	27.27272727272727	19798530.0
190626_I114_FCH7TVNBBXY_L3_OC-N4_2	1.782459299978899					
190626_I114_FCH7TVNBBXY_L3_OC-N4_2_val_2		71.5790057131042	28.0	46.09451095611644	27.27272727272727	19798530.0
190626_I114_FCH7TVNBBXY_L3_OC-N5_1	2.015023634478442					
190626_I114_FCH7TVNBBXY_L3_OC-N5_1_val_1		79.57293029289781	29.0	47.294664636578595	27.27272727272727	18864863.0
190626_I114_FCH7TVNBBXY_L3_OC-N5_2	2.0200469301148476					
190626_I114_FCH7TVNBBXY_L3_OC-N5_2_val_2		73.51251118543541	26.0	46.064277487729434	27.27272727272727	18864863.0
190626_I114_FCH7TVNBBXY_L3_OC-S2_1	2.1081787582037035					
190626_I114_FCH7TVNBBXY_L3_OC-S2_1_val_1		83.27884527295842	30.0	47.253678836243765	27.27272727272727	14347472.0
190626_I114_FCH7TVNBBXY_L3_OC-S2_2	2.126104923098312					
190626_I114_FCH7TVNBBXY_L3_OC-S2_2_val_2		75.58268204705055	27.0	45.913281517468725	27.27272727272727	14347472.0
190626_I114_FCH7TVNBBXY_L3_OC-S3_1	1.8121531247812392					
190626_I114_FCH7TVNBBXY_L3_OC-S3_1_val_1		73.6672012784601	31.0	47.377365591284	27.27272727272727	23138771.0
190626_I114_FCH7TVNBBXY_L3_OC-S3_2	1.7930449659241114					
190626_I114_FCH7TVNBBXY_L3_OC-S3_2_val_2		66.93164231952237	27.0	46.05080425403752	27.27272727272727	23138771.0
190626_I114_FCH7TVNBBXY_L4_20-N1_1	1.8451095987415875					
190626_I114_FCH7TVNBBXY_L4_20-N1_1_val_1		90.86692593069267	29.0	47.29097323107989	27.27272727272727	26133105.0
190626_I114_FCH7TVNBBXY_L4_20-N1_2	1.7825771567743798					
190626_I114_FCH7TVNBBXY_L4_20-N1_2_val_2		81.02181051862406	27.0	46.17312963767604	27.27272727272727	26133105.0
190626_I114_FCH7TVNBBXY_L4_20-S2_1	1.8737093854117841					
190626_I114_FCH7TVNBBXY_L4_20-S2_1_val_1		92.45163817830766	30.0	47.34151001631901	27.27272727272727	21250671.0
190626_I114_FCH7TVNBBXY_L4_20-S2_2	1.8698104898454577					
190626_I114_FCH7TVNBBXY_L4_20-S2_2_val_2		81.53440376618835	27.0	46.11331402194312	27.27272727272727	21250671.0
190626_I114_FCH7TVNBBXY_L4_5-S1_1	1.8635189259417582					
190626_I114_FCH7TVNBBXY_L4_5-S1_1_val_1		90.74611690442696	31.0	47.312735426827665	27.27272727272727	27934635.0
190626_I114_FCH7TVNBBXY_L4_5-S1_2	1.8390780324912284					
190626_I114_FCH7TVNBBXY_L4_5-S1_2_val_2		81.77865541916668	27.0	45.98537317562946	36.36363636363637	27934635.0
190626_I114_FCH7TVNBBXY_L4_OC-S5_1	1.5446548357540353					
190626_I114_FCH7TVNBBXY_L4_OC-S5_1_val_1		86.72252466647193	26.0	47.428592745893624	27.27272727272727	27951782.0
190626_I114_FCH7TVNBBXY_L4_OC-S5_2	1.4426302095634305					
190626_I114_FCH7TVNBBXY_L4_OC-S5_2_val_2		79.12552487906203	25.0	46.72811980288055	27.27272727272727	27951782.0
