ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm026791,1.26237497,0.934768504,16.23246135,0.000374955,0.04036878
Funhe2EKm017710,0.736687285,4.501177309,16.18473709,0.000381024,0.040581156
Funhe2EKm012973,-1.87792683,2.088802246,16.16667209,0.000393395,0.041452996
Funhe2EKm027081,1.59550275,4.002744277,16.29926201,0.000402107,0.041548882
Funhe2EKm007324,0.683339741,3.130521604,16.02077743,0.000402695,0.041548882
Funhe2EKm033200,-0.740327762,5.641054477,15.95344753,0.000411974,0.041918696
Funhe2EKm034866,1.533971671,7.440817963,16.1290737,0.000414743,0.041918696
Funhe2EKm027073,1.041267218,4.130007211,15.86806803,0.000424073,0.042428717
Funhe2EKm026764,0.9649262,6.47080761,15.82656498,0.000430092,0.042534602
Funhe2EKm024495,0.692576315,6.263527246,15.80184675,0.00043372,0.042534602
Funhe2EKm023340,0.891801767,2.781103266,15.74599346,0.00044204,0.042698191
Funhe2EKm040577,-0.946329953,2.544775913,15.7161933,0.000446549,0.042698191
Funhe2EKm000684,0.909753812,2.286655774,15.70457437,0.00044832,0.042698191
Funhe2EKm012451,1.270317326,1.905224187,15.6737347,0.000453059,0.042738549
Funhe2EKm027640,0.669310855,4.20578916,15.56471951,0.000470246,0.04394135
Funhe2EKm000936,0.958578329,2.998331153,15.48833146,0.000482706,0.044542545
Funhe2EKm024089,-0.54944023,4.926349711,15.47044958,0.000485673,0.044542545
Funhe2EKm003356,1.00856861,2.410650359,15.43203068,0.000492116,0.04471936
Funhe2EKm027289,-0.663169832,3.29739743,15.39074323,0.000499142,0.044945513
Funhe2EKm031753,0.587057715,3.03536923,15.29048907,0.000516657,0.045380874
Funhe2EKm001298,-0.874929443,3.54184309,15.2832044,0.000517955,0.045380874
Funhe2EKm025148,-0.748137307,3.53257422,15.26854383,0.000520578,0.045380874
Funhe2EKm000138,1.18846609,3.715579609,15.29641037,0.000523829,0.045380874
Funhe2EKm032892,1.005725371,3.071069019,15.19935803,0.000533151,0.045380874
Funhe2EKm030699,1.330853814,1.03829742,15.17444073,0.000537759,0.045380874
Funhe2EKm033847,0.865994111,2.001174485,15.16870568,0.000538826,0.045380874
Funhe2EKm007506,0.94428191,2.725883469,15.15903255,0.00054063,0.045380874
Funhe2EKm002701,0.796987373,2.639293964,15.11713169,0.000548521,0.045656301
Funhe2EKm033329,-0.738330761,4.224436822,15.0782548,0.000555953,0.045717431
Funhe2EKm004447,-0.965152147,1.527298796,15.05922575,0.00055963,0.045717431
Funhe2EKm013038,1.13283927,1.919672671,15.04138105,0.000563102,0.045717431
Funhe2EKm009730,0.778055702,2.519860329,14.82085626,0.000607975,0.048735737
Funhe2EKm022955,1.183718718,2.183744677,14.79729245,0.000612993,0.048735737
Funhe2EKm010013,1.359365316,2.512189334,14.80310886,0.00061504,0.048735737
Funhe2EKm025753,0.912601484,3.884956158,14.75196631,0.00062277,0.04895667
Funhe2EKm032696,-2.614301855,4.832313119,15.26678861,0.000629878,0.049125513
Funhe2EKm005247,0.907584042,2.406102276,14.6942429,0.000635465,0.049174098
Funhe2EKm025160,0.787650709,5.418512301,14.64088612,0.000647448,0.04960637
Funhe2EKm003913,1.429880844,5.380808239,14.79178843,0.000657069,0.04960637
Funhe2EKm000065,-0.531275636,4.096670668,14.59249592,0.000658525,0.04960637
Funhe2EKm014882,1.053823876,3.43532549,14.58144125,0.000661084,0.04960637
