ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm002239,1.362852993,1.73267648,13.9280819,0.00083311,0.02905621
Funhe2EKm029915,0.569015655,4.61763367,13.8683416,0.00085109,0.02957914
Funhe2EKm036148,0.604934634,6.39613864,13.7871036,0.00087621,0.03034581
Funhe2EKm029530,1.225244618,2.66528562,13.7778952,0.00088219,0.03044622
Funhe2EKm038372,-0.82323053,2.69465561,13.7443528,0.00088975,0.03060076
Funhe2EKm021666,1.012326133,4.35743991,13.7211574,0.00090397,0.03098211
Funhe2EKm032096,-0.75220749,3.17900607,13.6257735,0.0009285,0.03166854
Funhe2EKm012251,-0.62703184,2.98856696,13.615876,0.00093182,0.03166854
Funhe2EKm032892,0.936077155,3.07106902,13.5960755,0.00093849,0.03166854
Funhe2EKm002332,0.791399167,5.1245325,13.5889719,0.0009409,0.03166854
Funhe2EKm010847,-0.9861584,3.88441543,13.5801972,0.00094388,0.03166854
Funhe2EKm032900,0.644411615,4.39428836,13.5753406,0.00094553,0.03166854
Funhe2EKm036359,-0.8282202,2.34167134,13.5655377,0.00094888,0.03166854
Funhe2EKm003357,-0.91164607,1.58462826,13.5558809,0.00095219,0.03166854
Funhe2EKm033990,-0.82300807,4.85545235,13.5524152,0.00095338,0.03166854
Funhe2EKm036463,-0.58839053,15.4365409,13.5449051,0.00095597,0.03166854
Funhe2EKm029242,0.518671071,3.95866075,13.5223527,0.00096379,0.03171853
Funhe2EKm015503,-1.12527511,0.67440949,13.5193082,0.00096485,0.03171853
Funhe2EKm009884,-0.87797914,4.6759305,13.508634,0.00096857,0.03171853
Funhe2EKm032946,-0.56358924,6.29368189,13.5037347,0.00097029,0.03171853
Funhe2EKm009972,-1.82227523,2.78034307,13.7075812,0.00097513,0.03177189
Funhe2EKm023550,0.945526426,4.46370818,13.4687433,0.00098264,0.03178402
Funhe2EKm032076,0.673884362,6.74207859,13.4646114,0.00098411,0.03178402
Funhe2EKm038380,1.337085664,7.54152049,13.6054598,0.00098513,0.03178402
Funhe2EKm028738,1.638101833,3.23421834,13.6740509,0.00099654,0.03204787
Funhe2EKm006199,-0.66893174,4.38980934,13.3584401,0.00102269,0.03278247
