"","logFC","logCPM","F","PValue","FDR"
"cntfr",1.10311765403987,4.43509802128811,31.9503023943535,4.77867255773058e-06,0.000282506900240889
"galnt16",1.59848425733927,5.76201752600501,31.8473161968857,4.89799386694675e-06,0.000283873845481603
"tal1",-1.85275861003421,3.2839217654017,31.8413028151344,4.90505917074433e-06,0.000283873845481603
"colec11",-1.07788306423718,3.86353548706387,31.7556395939594,5.00690414953095e-06,0.000286749573063762
"crnkl1",0.999313732759636,2.95370849291102,31.6575396883538,5.12633039672078e-06,0.000290562520836813
"jun",3.97722498036072,3.00965343108695,31.9300118941719,5.19970889904122e-06,0.000291714280887027
"vars1",1.09065233778005,3.49336118373572,31.5137820837844,5.30689628218211e-06,0.000294720361206437
"gcdhb",-0.993080028999843,4.41918001161622,31.4117530290572,5.43918567428578e-06,0.000299046428372232
"ercc3",0.9129740989969,3.36728201099414,31.3346011401472,5.541568765201e-06,0.000301658862089852
"nsfl1c",0.916672932740394,4.63003891488977,31.1808854214293,5.7517735556267e-06,0.000310031872635643
"evi5b",0.591808972099525,5.55946541923171,31.0429233038334,5.94773271325873e-06,0.000317481887936859
"akap8l",0.762681056357651,4.66737628366017,30.8545607476052,6.22693498804452e-06,0.000322830289080488
"znf330",-0.952535457623109,4.92084588988799,30.8359253815903,6.25531268033629e-06,0.000322830289080488
"col6a1",-1.93239251669684,3.23228970230783,30.8150698991137,6.28723583361489e-06,0.000322830289080488
"hs6st1a",0.981771880550721,4.56067081047313,30.7870042065496,6.33047183925384e-06,0.000322830289080488
"kiaa1191",-1.65880629232727,7.11685230602029,30.7798662130074,6.34151895610998e-06,0.000322830289080488
"sec31a",0.907373344215498,3.69069797850955,30.5794970246589,6.66021931096858e-06,0.000335943906162433
"psmd13",0.916028774238781,3.69157578631274,30.1474100181926,7.40752867841239e-06,0.000370241751581012
"LOC105930643",-3.04815559472132,7.97283780384318,30.3407150216946,7.83911958849804e-06,0.000382544934890662
"rcl1",-1.51388657933753,7.04949359978895,29.8970782665687,7.88127942383813e-06,0.000382544934890662
"p4hb",1.13365138902626,8.71839910874609,29.8943445696964,7.88662905862181e-06,0.000382544934890662
"zgc:154058",1.35983051126912,6.68946615713688,29.8712406973203,7.93199755866414e-06,0.000382544934890662
"psma5",1.21925580643248,3.89135801297113,29.6613927526745,8.35713624917128e-06,0.000394190381381624
"spcs2",1.04385515224883,4.77990210835217,29.6446179625065,8.39216139569444e-06,0.000394190381381624
"polr1g",1.28736434227593,3.27092578131326,29.595576584875,8.4954648375012e-06,0.000394190381381624
"LOC105936699",-1.10196806111206,6.1964091301267,29.5486158124958,8.59566593521745e-06,0.000394190381381624
"dbpb",1.16582654801614,4.81237011288944,29.5468932530449,8.59936543227859e-06,0.000394190381381624
"manf",1.0559159475989,5.70505740259805,29.5449011231451,8.60364601051198e-06,0.000394190381381624
"ostc",0.90282831001699,7.01546844324348,29.4360423904534,8.84106920231366e-06,0.000401720648548103
"krt18a.1",-1.2128201567355,8.77572691345401,29.3763985980849,8.97412806787585e-06,0.0004044242304687
"nectin1b",-1.54832591062521,3.86344051395393,29.3060187264799,9.13390899088924e-06,0.00040827830595048
"aldh3a2b",-0.749919945663763,7.73816417600177,29.2613458393056,9.23691090690903e-06,0.000409552711017628
