"","logFC","logCPM","F","PValue","FDR"
"arfgap3",0.748268279709862,5.41213423368653,28.535880105371,1.10963989300237e-05,0.000458706776821582
"letm1",0.794545817643722,4.41075207380568,28.4177075586383,1.14356205964318e-05,0.000469201806262554
"LOC105918723",1.56511887611545,3.54752106308959,28.3847562903405,1.15321822709538e-05,0.000469658800931139
"surf6",-1.17571558207004,4.02278060263135,28.2819811817533,1.18390238941552e-05,0.00047860995125048
"psma1",0.961712249414287,4.63374155095342,28.1310984275554,1.23054814441693e-05,0.000493836036350676
"ddx39ab",0.854620218831414,4.58611219569644,27.9917386916268,1.27538756981074e-05,0.00050812180136373
"atp6v0d1",0.835216735183384,4.13387330843504,27.9299588770904,1.29582383842285e-05,0.000512549601701355
"LOC105920835",-0.834999601779574,7.67174422494528,27.8932540109939,1.30813179842428e-05,0.000513722044838336
"LOC105929517",1.06218695423953,3.03346957943921,27.7369465601122,1.36196834327104e-05,0.000531071060376182
"zgc:154058",1.30638643887838,6.68946615713688,27.5582718456944,1.4264381989582e-05,0.000549261826474714
"LOC105919311",0.951967304300896,4.27333053998369,27.5512644130619,1.42903250578744e-05,0.000549261826474714
"ido1",0.893494860858088,6.36898964388184,27.4829039625774,1.45460851092757e-05,0.000549261826474714
"cog7",0.785469916946412,3.89987793214987,27.4358334177856,1.47250473108845e-05,0.000549261826474714
"ctsf",-1.22184870294264,11.9120637393894,27.4286192268993,1.47526839640172e-05,0.000549261826474714
"zcchc24",0.762747460464883,4.15688622094874,27.4232710551128,1.47732080819434e-05,0.000549261826474714
"atp5po",-1.18485106730778,8.88154378414742,27.4111809501496,1.48197180926656e-05,0.000549261826474714
"eif4ebp2",-0.981262353052041,5.8046703819509,27.3941725024605,1.48854150863464e-05,0.000549261826474714
"LOC105921300",1.12343709956221,5.86920695767407,27.2929694216491,1.52828461589275e-05,0.000560167254545222
"c12h9orf78",-0.945257413353236,4.7005841729327,27.2104033690026,1.56155290978547e-05,0.00056857072172189
"kif1c",0.799597493238993,5.1444951198589,27.1267597279664,1.59604968499236e-05,0.000577307971584738
"acss2l",-1.70157120109138,4.47929409873725,27.1115664594516,1.61332475605885e-05,0.000579742451556311
"LOC105920045",4.67660565523761,2.46821468894425,27.1564275617218,1.65145101992508e-05,0.000589589461529096
"tdo2a",0.729798267705381,11.9357438962778,26.9322549279354,1.67947330683317e-05,0.000595725434901212
"akap8l",0.708709294772858,4.66737628366017,26.8322388372852,1.72418290355725e-05,0.000607663948958831
"ube2l3a",0.786933021080538,4.16991509563742,26.7699047753066,1.7526930451513e-05,0.000613777475302027
"LOC105936400",-0.758331021985871,3.68917334936778,26.7195691089361,1.77608485987813e-05,0.00061803256706392
"slc31a1",0.968108256902624,5.5684773587134,26.6484720784793,1.80969777394903e-05,0.000625768450388161
"aqp7",1.17380760040339,6.3869256654996,26.5827302049511,1.84138730402661e-05,0.000632746712346145
"srsf3b",0.890083554248123,4.27140276446386,26.4751798235007,1.89452179099526e-05,0.000646961540800742
"rcl1",-1.41929820121345,7.04949359978895,26.4304218915716,1.91711723993901e-05,0.000650636455875599
"pdia4",1.53449162328204,5.79464865833066,26.3725541168339,1.94676094429039e-05,0.000651985940291275
"col6a2",-1.88863325898699,2.85937621626453,26.3711036170087,1.94751028118663e-05,0.000651985940291275
"LOC105916936",-2.22475749299465,4.97614004573618,26.56979406237,1.95666933699637e-05,0.000651985940291275
"LOC105930808",0.75140669823745,3.51011133889286,26.3212487112128,1.97345484376551e-05,0.000653617754880889
"cert1",0.825149991265153,3.49374569857049,26.2941209710068,1.98772788521932e-05,0.000654402869038073
"sardh",1.3882129827714,3.85040948379403,26.1511658820279,2.06479676404514e-05,0.000675729321947631
"LOC105916107",0.538312898509837,4.56800445583519,26.0887800356054,2.09943011410161e-05,0.00068299803356986
"LOC105917880",-2.5415802744996,5.22899772313363,26.3084588374266,2.14431095877649e-05,0.000686478535864207
